RateTypeDescription,StartDate,EndDate,ProfileReadValue
Usage,"10/1/2024 15:30",,0.101
Solar,"10/1/2024 15:30",,0.518
Usage,"10/1/2024 16:00",,0.149
Solar,"10/1/2024 16:00",,0.405
Usage,"10/1/2024 16:30",,0.110
Solar,"10/1/2024 16:30",,0.312
Usage,"10/1/2024 17:00",,0.896
Usage,"10/1/2024 17:30",,0.832
Usage,"10/1/2024 18:00",,0.873
Usage,"10/1/2024 18:30",,0.836
Usage,"10/1/2024 19:00",,0.723
Usage,"10/1/2024 19:30",,0.860
Usage,"10/1/2024 20:00",,0.823
Usage,"10/1/2024 20:30",,0.719
Usage,"10/1/2024 21:00",,0.103
Usage,"10/1/2024 21:30",,0.106
Usage,"10/1/2024 22:00",,0.118
Usage,"10/1/2024 22:30",,0.081
Usage,"10/1/2024 23:00",,1.298
Usage,"10/1/2024 23:30",,1.494
Usage,"11/1/2024 0:00",,1.325
Usage,"11/1/2024 0:30",,1.460
Usage,"11/1/2024 1:00",,1.330
Usage,"11/1/2024 1:30",,1.472
Usage,"11/1/2024 2:00",,1.510
Usage,"11/1/2024 2:30",,1.376
Usage,"11/1/2024 3:00",,1.539
Usage,"11/1/2024 3:30",,1.399
Usage,"11/1/2024 4:00",,1.555
Usage,"11/1/2024 4:30",,1.476
Usage,"11/1/2024 5:00",,0.101
Usage,"11/1/2024 5:30",,0.081
Usage,"11/1/2024 6:00",,0.548
Usage,"11/1/2024 6:30",,0.581
Usage,"11/1/2024 7:00",,0.532
Solar,"11/1/2024 7:00",,0.073
Usage,"11/1/2024 7:30",,0.605
Solar,"11/1/2024 7:30",,0.163
Usage,"11/1/2024 8:00",,0.576
Solar,"11/1/2024 8:00",,0.277
Usage,"11/1/2024 8:30",,0.676
Solar,"11/1/2024 8:30",,0.345
Usage,"11/1/2024 9:00",,0.093
Solar,"11/1/2024 9:00",,0.609
Usage,"11/1/2024 9:30",,0.096
Solar,"11/1/2024 9:30",,0.685
Usage,"11/1/2024 10:00",,0.137
Solar,"11/1/2024 10:00",,0.738
Usage,"11/1/2024 10:30",,0.112
Solar,"11/1/2024 10:30",,0.798
Usage,"11/1/2024 11:00",,0.139
Solar,"11/1/2024 11:00",,0.828
Usage,"11/1/2024 11:30",,0.098
Solar,"11/1/2024 11:30",,0.863
Usage,"11/1/2024 12:00",,0.142
Solar,"11/1/2024 12:00",,0.857
Usage,"11/1/2024 12:30",,0.094
Solar,"11/1/2024 12:30",,0.864
Usage,"11/1/2024 13:00",,0.110
Solar,"11/1/2024 13:00",,0.836
Usage,"11/1/2024 13:30",,0.134
Solar,"11/1/2024 13:30",,0.791
Usage,"11/1/2024 14:00",,0.093
Solar,"11/1/2024 14:00",,0.751
Usage,"11/1/2024 14:30",,0.093
Solar,"11/1/2024 14:30",,0.686
Usage,"11/1/2024 15:00",,0.093
Solar,"11/1/2024 15:00",,0.608
Usage,"11/1/2024 15:30",,0.104
Solar,"11/1/2024 15:30",,0.517
Usage,"11/1/2024 16:00",,0.100
Solar,"11/1/2024 16:00",,0.420
Usage,"11/1/2024 16:30",,0.099
Solar,"11/1/2024 16:30",,0.315
Usage,"11/1/2024 17:00",,0.661
Solar,"11/1/2024 17:00",,0.035
Usage,"11/1/2024 17:30",,0.899
Usage,"11/1/2024 18:00",,0.809
Usage,"11/1/2024 18:30",,0.830
Usage,"11/1/2024 19:00",,0.845
Usage,"11/1/2024 19:30",,0.836
Usage,"11/1/2024 20:00",,0.859
Usage,"11/1/2024 20:30",,0.765
Usage,"11/1/2024 21:00",,0.141
Usage,"11/1/2024 21:30",,0.091
Usage,"11/1/2024 22:00",,0.146
Usage,"11/1/2024 22:30",,0.129
Usage,"11/1/2024 23:00",,1.324
Usage,"11/1/2024 23:30",,1.307
Usage,"12/1/2024 0:00",,1.313
Usage,"12/1/2024 0:30",,1.280
Usage,"12/1/2024 1:00",,1.245
Usage,"12/1/2024 1:30",,1.449
Usage,"12/1/2024 2:00",,1.561
Usage,"12/1/2024 2:30",,1.203
Usage,"12/1/2024 3:00",,1.305
Usage,"12/1/2024 3:30",,1.554
Usage,"12/1/2024 4:00",,1.374
Usage,"12/1/2024 4:30",,1.315
Usage,"12/1/2024 5:00",,0.142
Usage,"12/1/2024 5:30",,0.096
Usage,"12/1/2024 6:00",,0.638
Usage,"12/1/2024 6:30",,0.672
Usage,"12/1/2024 7:00",,0.680
Solar,"12/1/2024 7:00",,0.029
Usage,"12/1/2024 7:30",,0.692
Solar,"12/1/2024 7:30",,0.137
Usage,"12/1/2024 8:00",,0.563
Solar,"12/1/2024 8:00",,0.281
Usage,"12/1/2024 8:30",,0.637
Solar,"12/1/2024 8:30",,0.357
Usage,"12/1/2024 9:00",,0.123
Solar,"12/1/2024 9:00",,0.600
Usage,"12/1/2024 9:30",,0.099
Solar,"12/1/2024 9:30",,0.684
Usage,"12/1/2024 10:00",,0.123
Solar,"12/1/2024 10:00",,0.743
Usage,"12/1/2024 10:30",,0.103
Solar,"12/1/2024 10:30",,0.800
Usage,"12/1/2024 11:00",,0.139
Solar,"12/1/2024 11:00",,0.828
Usage,"12/1/2024 11:30",,0.137
Solar,"12/1/2024 11:30",,0.851
Usage,"12/1/2024 12:00",,0.095
Solar,"12/1/2024 12:00",,0.871
Usage,"12/1/2024 12:30",,0.130
Solar,"12/1/2024 12:30",,0.853
Usage,"12/1/2024 13:00",,0.115
Solar,"12/1/2024 13:00",,0.835
Usage,"12/1/2024 13:30",,0.146
Solar,"12/1/2024 13:30",,0.788
Usage,"12/1/2024 14:00",,0.086
Solar,"12/1/2024 14:00",,0.754
Usage,"12/1/2024 14:30",,0.091
Solar,"12/1/2024 14:30",,0.687
Usage,"12/1/2024 15:00",,0.111
Solar,"12/1/2024 15:00",,0.603
Usage,"12/1/2024 15:30",,0.134
Solar,"12/1/2024 15:30",,0.508
Usage,"12/1/2024 16:00",,0.117
Solar,"12/1/2024 16:00",,0.415
Usage,"12/1/2024 16:30",,0.134
Solar,"12/1/2024 16:30",,0.304
Usage,"12/1/2024 17:00",,0.685
Solar,"12/1/2024 17:00",,0.027
Usage,"12/1/2024 17:30",,0.690
Usage,"12/1/2024 18:00",,0.711
Usage,"12/1/2024 18:30",,0.738
Usage,"12/1/2024 19:00",,0.864
Usage,"12/1/2024 19:30",,0.858
Usage,"12/1/2024 20:00",,0.796
Usage,"12/1/2024 20:30",,0.835
Usage,"12/1/2024 21:00",,0.103
Usage,"12/1/2024 21:30",,0.090
Usage,"12/1/2024 22:00",,0.134
Usage,"12/1/2024 22:30",,0.104
Usage,"12/1/2024 23:00",,1.241
Usage,"12/1/2024 23:30",,1.340
Usage,"13/1/2024 0:00",,1.523
Usage,"13/1/2024 0:30",,1.296
Usage,"13/1/2024 1:00",,1.273
Usage,"13/1/2024 1:30",,1.224
Usage,"13/1/2024 2:00",,1.338
Usage,"13/1/2024 2:30",,1.206
Usage,"13/1/2024 3:00",,1.357
Usage,"13/1/2024 3:30",,1.482
Usage,"13/1/2024 4:00",,1.289
Usage,"13/1/2024 4:30",,1.553
Usage,"13/1/2024 5:00",,0.140
Usage,"13/1/2024 5:30",,0.081
Usage,"13/1/2024 6:00",,0.638
Usage,"13/1/2024 6:30",,0.533
Usage,"13/1/2024 7:00",,0.598
Solar,"13/1/2024 7:00",,0.054
Usage,"13/1/2024 7:30",,0.590
Solar,"13/1/2024 7:30",,0.167
Usage,"13/1/2024 8:00",,0.516
Solar,"13/1/2024 8:00",,0.295
Usage,"13/1/2024 8:30",,0.589
Solar,"13/1/2024 8:30",,0.371
Usage,"13/1/2024 9:00",,0.087
Solar,"13/1/2024 9:00",,0.610
Usage,"13/1/2024 9:30",,0.121
Solar,"13/1/2024 9:30",,0.678
Usage,"13/1/2024 10:00",,0.145
Solar,"13/1/2024 10:00",,0.736
Usage,"13/1/2024 10:30",,0.126
Solar,"13/1/2024 10:30",,0.794
Usage,"13/1/2024 11:00",,0.081
Solar,"13/1/2024 11:00",,0.845
Usage,"13/1/2024 11:30",,0.117
Solar,"13/1/2024 11:30",,0.857
Usage,"13/1/2024 12:00",,0.098
Solar,"13/1/2024 12:00",,0.871
Usage,"13/1/2024 12:30",,0.150
Solar,"13/1/2024 12:30",,0.847
Usage,"13/1/2024 13:00",,0.118
Solar,"13/1/2024 13:00",,0.834
Usage,"13/1/2024 13:30",,0.136
Solar,"13/1/2024 13:30",,0.791
Usage,"13/1/2024 14:00",,0.101
Solar,"13/1/2024 14:00",,0.749
Usage,"13/1/2024 14:30",,0.124
Solar,"13/1/2024 14:30",,0.677
Usage,"13/1/2024 15:00",,0.080
Solar,"13/1/2024 15:00",,0.612
Usage,"13/1/2024 15:30",,0.116
Solar,"13/1/2024 15:30",,0.513
Usage,"13/1/2024 16:00",,0.128
Solar,"13/1/2024 16:00",,0.411
Usage,"13/1/2024 16:30",,0.143
Solar,"13/1/2024 16:30",,0.302
Usage,"13/1/2024 17:00",,0.849
Usage,"13/1/2024 17:30",,0.804
Usage,"13/1/2024 18:00",,0.870
Usage,"13/1/2024 18:30",,0.793
Usage,"13/1/2024 19:00",,0.881
Usage,"13/1/2024 19:30",,0.867
Usage,"13/1/2024 20:00",,0.812
Usage,"13/1/2024 20:30",,0.960
Usage,"13/1/2024 21:00",,0.123
Usage,"13/1/2024 21:30",,0.083
Usage,"13/1/2024 22:00",,0.090
Usage,"13/1/2024 22:30",,0.082
Usage,"13/1/2024 23:00",,1.581
Usage,"13/1/2024 23:30",,1.412
Usage,"14/1/2024 0:00",,1.550
Usage,"14/1/2024 0:30",,1.236
Usage,"14/1/2024 1:00",,1.319
Usage,"14/1/2024 1:30",,1.310
Usage,"14/1/2024 2:00",,1.502
Usage,"14/1/2024 2:30",,1.318
Usage,"14/1/2024 3:00",,1.381
Usage,"14/1/2024 3:30",,1.365
Usage,"14/1/2024 4:00",,1.479
Usage,"14/1/2024 4:30",,1.274
Usage,"14/1/2024 5:00",,0.103
Usage,"14/1/2024 5:30",,0.135
Usage,"14/1/2024 6:00",,0.583
Usage,"14/1/2024 6:30",,0.524
Usage,"14/1/2024 7:00",,0.555
Solar,"14/1/2024 7:00",,0.066
Usage,"14/1/2024 7:30",,0.645
Solar,"14/1/2024 7:30",,0.151
Usage,"14/1/2024 8:00",,0.561
Solar,"14/1/2024 8:00",,0.282
Usage,"14/1/2024 8:30",,0.659
Solar,"14/1/2024 8:30",,0.350
Usage,"14/1/2024 9:00",,0.084
Solar,"14/1/2024 9:00",,0.611
Usage,"14/1/2024 9:30",,0.132
Solar,"14/1/2024 9:30",,0.674
Usage,"14/1/2024 10:00",,0.138
Solar,"14/1/2024 10:00",,0.738
Usage,"14/1/2024 10:30",,0.142
Solar,"14/1/2024 10:30",,0.789
Usage,"14/1/2024 11:00",,0.085
Solar,"14/1/2024 11:00",,0.844
Usage,"14/1/2024 11:30",,0.132
Solar,"14/1/2024 11:30",,0.853
Usage,"14/1/2024 12:00",,0.148
Solar,"14/1/2024 12:00",,0.856
Usage,"14/1/2024 12:30",,0.124
Solar,"14/1/2024 12:30",,0.855
Usage,"14/1/2024 13:00",,0.082
Solar,"14/1/2024 13:00",,0.845
Usage,"14/1/2024 13:30",,0.142
Solar,"14/1/2024 13:30",,0.789
Usage,"14/1/2024 14:00",,0.114
Solar,"14/1/2024 14:00",,0.745
Usage,"14/1/2024 14:30",,0.105
Solar,"14/1/2024 14:30",,0.683
Usage,"14/1/2024 15:00",,0.129
Solar,"14/1/2024 15:00",,0.598
Usage,"14/1/2024 15:30",,0.121
Solar,"14/1/2024 15:30",,0.512
Usage,"14/1/2024 16:00",,0.138
Solar,"14/1/2024 16:00",,0.409
Usage,"14/1/2024 16:30",,0.098
Solar,"14/1/2024 16:30",,0.315
Usage,"14/1/2024 17:00",,0.829
Usage,"14/1/2024 17:30",,0.805
Usage,"14/1/2024 18:00",,0.977
Usage,"14/1/2024 18:30",,0.974
Usage,"14/1/2024 19:00",,0.934
Usage,"14/1/2024 19:30",,0.952
Usage,"14/1/2024 20:00",,0.805
Usage,"14/1/2024 20:30",,0.989
Usage,"14/1/2024 21:00",,0.141
Usage,"14/1/2024 21:30",,0.123
Usage,"14/1/2024 22:00",,0.110
Usage,"14/1/2024 22:30",,0.149
Usage,"14/1/2024 23:00",,1.556
Usage,"14/1/2024 23:30",,1.337
